algorithm,candidate,k_or_components,silhouette_score,davies_bouldin_index,calinski_harabasz_score,inertia,log_likelihood,aic,bic,smallest_cluster_pct,largest_cluster_pct,cluster_count
KMeans,K=2,2,0.496215,0.995658,1064.257542,1270.942829,,,,49.833333,50.166667,2
KMeans,K=3,3,0.661915,0.469918,2871.109332,413.994736,,,,25.0,49.75,3
KMeans,K=4,4,0.699099,0.418398,5211.561911,170.545636,,,,24.833333,25.333333,4
KMeans,K=5,5,0.625209,0.631371,4461.050157,150.636576,,,,11.916667,25.333333,5
KMeans,K=6,6,0.522877,0.852478,4123.598228,131.3786,,,,11.916667,25.25,6
KMeans,K=7,7,0.444404,0.971956,3837.255873,118.233264,,,,11.083333,24.833333,7
KMeans,K=8,8,0.344231,1.114774,3705.102518,105.456716,,,,11.083333,13.833333,8
GMM,C=2,2,0.437084,1.141033,852.099676,,-2.179266,5252.237357,5308.228202,49.75,50.25,2
GMM,C=3,3,0.661173,0.467661,2844.572983,,-1.76088,4260.111915,4346.643222,24.833333,50.25,3
GMM,C=4,4,0.698899,0.417844,5196.164993,,-1.538489,3738.374402,3855.446169,24.833333,25.25,4
GMM,C=5,5,0.605892,0.662857,4238.654163,,-1.535063,3742.152298,3889.764526,10.916667,25.0,5
GMM,C=6,6,0.534536,0.858571,3809.823837,,-1.531524,3745.656683,3923.809372,10.833333,25.0,6
GMM,C=7,7,0.434723,1.021504,3694.360596,,-1.52884,3751.216485,3959.909635,10.25,24.916667,7
GMM,C=8,8,0.454249,0.855325,3003.428865,,-1.52665,3757.958996,3997.192607,1.916667,24.916667,8
